3935	3262100542	GRĂDINIŢA CU PROGRAM NORMAL DÂRLOS	GPN DÂRLOS	DÂRLOS	DÂRLOS	SIBIU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3936	1562102237	GRĂDINIȚA CU PROGRAM NORMAL DÂRZA CREVEDIA	GPN DÂRZA CREVEDIA	DÂRZA	CREVEDIA	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3937	1362104215	GRĂDINIŢA CU PROGRAM NORMAL DE APLICAŢIE CONSTANŢA	GRĂDIN PR NORMAL DE APLICAŢIE	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3938	2662105896	GRĂDINIȚA CU PROGRAM NORMAL DEAJ	GPN DEAJ	DEAJ	MICA	MUREŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3939	1562104126	GRĂDINIȚA CU PROGRAM NORMAL DEALU FRUMOS PIETROȘIȚA	GPN DEALU FRUMOS PIETROȘIȚA	DEALU FRUMOS	PIETROŞIŢA	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3940	3062102823	GRĂDINIȚA CU PROGRAM NORMAL DEALU MARE	GPN DEALU MARE	VIILE SATU MARE	VIILE SATU MARE	SATU MARE	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3941	1162103099	GRĂDINIŢA CU PROGRAM NORMAL DEALU MARE REŞIŢA	GPN NR 12 RESITA	REŞIŢA	MUNICIPIUL REŞIŢA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3942	0662102586	GRĂDINIȚA CU PROGRAM NORMAL DEALU ȘTEFĂNIȚEI	GPN DEALU ȘTEFĂNIȚEI	DEALU ŞTEFĂNIŢEI	ROMULI	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3943	1562103084	GRĂDINIȚA CU PROGRAM NORMAL DECINDENI DRAGOMIREȘTI	GPN DECINDENI DRAGOMIREȘTI	DECINDENI	DRAGOMIREŞTI	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3944	2662107767	GRĂDINIȚA CU PROGRAM NORMAL DEDA	GPN DEDA	DEDA	DEDA	MUREŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3945	2662101277	GRĂDINIȚA CU PROGRAM NORMAL DEDRAD	GPN DEDRAD	DEDRAD	BATOŞ	MUREŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3946	1162102496	GRĂDINIŢA CU PROGRAM NORMAL „DEGEŢICA“ REŞIŢA	GPN NR.16 RESITA	REŞIŢA	MUNICIPIUL REŞIŢA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3947	3362105749	GRĂDINIȚA CU PROGRAM NORMAL DEIA	GPN DEIA	DEIA	FRUMOSU	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3948	3162103958	GRĂDINIȚA CU PROGRAM NORMAL DEJA	GR.PR.NOR. DEJA	DEJA	SĂLĂŢIG	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3949	0862102235	Grădinița cu Program Normal Dejani	Grădinița cu PN Dejani	DEJANI	RECEA	BRAŞOV	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3950	1362103517	GRĂDINIŢA CU PROGRAM NORMAL DELENI	GRĂDIN PR NORMAL DELENI	DELENI	DELENI	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3951	2262102334	GRĂDINIȚA CU PROGRAM NORMAL, DELENI	GPN DELENI	DELENI	DELENI	IAŞI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3952	3362107326	GRĂDINIȚA CU PROGRAM NORMAL DELENI	GPN DELENI	DELENI	PÂRTEŞTII DE JOS	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3953	1362103182	GRĂDINIŢA CU PROGRAM NORMAL ’DELFINII JUCĂUŞI’ CONSTANŢA	GRĂDIN PR NORMAL ’DELFINII JUCĂUŞI’ CȚA	CONSTANŢA	MUNICIPIUL CONSTANŢA	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3954	1162101694	GRĂDINIŢA CU PROGRAM NORMAL DELINEŞTI	GPN DELINESTI	DELINEŞTI	PĂLTINIŞ	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3955	3562104103	GRĂDINIȚA CU PROGRAM NORMAL DENTA	GPN DENTA	DENTA	DENTA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3956	3162103108	GRĂDINIȚA CU PROGRAM NORMAL DERȘIDA	GR.PR.NOR. DERȘIDA	DERŞIDA	BOBOTA	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3957	3562104686	GRĂDINIȚA CU PROGRAM NORMAL DETA	GPN DETA	DETA	ORAŞ DETA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3958	3462102333	GRĂDINIȚA CU PROGRAM NORMAL DIDEȘTI	GRĂD CU PN DIDEȘTI	DIDEŞTI	DIDEŞTI	TELEORMAN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3959	0662102437	GRĂDINIȚA CU PROGRAM NORMAL "DIMITRIE COJOCARU" SLĂTINIȚA	GPN "D.COJOCARU" SLATINITA	SLĂTINIŢA	MUNICIPIUL BISTRIŢA	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3960	3562103391	GRĂDINIȚA CU PROGRAM NORMAL DINIAȘ	GPN DINIAS PECIU NOU	DINIAŞ	PECIU NOU	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3961	3162102948	GRĂDINIȚA CU PROGRAM NORMAL DIOȘOD	GR.PR.NOR. DIOȘOD	DIOŞOD	HERECLEAN	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3962	0662101594	GRĂDINIȚA CU PROGRAM NORMAL DIPȘA	GPN DIPȘA	DIPŞA	GALAŢII BISTRIŢEI	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3963	2962105973	GRĂDINIȚA CU PROGRAM NORMAL "DISNEY", SAT HOMORÂCIU, COMUNA IZVOARELE	GPN HOMORICIU IZVOARELE	HOMORÂCIU	IZVOARELE	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3964	2962101295	GRĂDINIȚA CU PROGRAM NORMAL DÎMBU, ORAȘUL BĂICOI	GPN DIMBU BAICOI	DÂMBU	ORAŞ BĂICOI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3965	3162104181	GRĂDINIȚA CU PROGRAM NORMAL DOBA	GR.PR.NOR. DOBA	DOBA	DOBRIN	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3966	3262101077	GRĂDINIŢA CU PROGRAM NORMAL DOBÂRCA	GPN DOBÂRCA	DOBÂRCA	ORAŞ MIERCUREA SIBIULUI	SIBIU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3967	1462101224	Grădinița cu Program Normal Dobârlău	GPN. DOBÂRLĂU	DOBÂRLĂU	DOBÂRLĂU	COVASNA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3968	1462101287	Grădinița cu Program Normal Dobârlău Vale	GPN. DOBÂRLĂU VALE	VALEA DOBÂRLĂULUI	DOBÂRLĂU	COVASNA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3969	1462103226	Grădinița cu Program Normal Dobolii de Sus	GPN. DOBOLII DE SUS	BOROŞNEU MARE	BOROŞNEU MARE	COVASNA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3970	1462101631	Grădinița cu Program Normal Doboșeni	GPN. DOBOȘENI	DOBOŞENI	BRĂDUŢ	COVASNA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3971	1562102002	GRĂDINIȚA CU PROGRAM NORMAL DOBRA	GPN DOBRA	DOBRA	DOBRA	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3972	0362103257	GRĂDINIȚA CU PROGRAM NORMAL DOBREȘTI	GPN DOBREȘTI	DOBREŞTI	DOBREŞTI	ARGEŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3973	0662102093	GRĂDINIȚA CU PROGRAM NORMAL DOBRIC	GPN DOBRIC	DOBRIC	CĂIANU MIC	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3974	3162104222	GRĂDINIȚA CU PROGRAM NORMAL DOBRIN	GR.PR.NOR. DOBRIN	DOBRIN	DOBRIN	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3975	1362103802	GRĂDINIŢA CU PROGRAM NORMAL DOBROMIR-DEAL	GRĂDIN PR NORMAL DOBROMIR-DEAL	DOBROMIRU DIN DEAL	DOBROMIR	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3976	1362103797	GRĂDINIŢA CU PROGRAM NORMAL DOBROMIR-VALE	GRĂDIN PR NORMAL DOBROMIR-VALE	DOBROMIR	DOBROMIR	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3977	1162100214	GRĂDINIŢA CU PROGRAM NORMAL DOCLIN	GPN DOCLIN	DOCLIN	DOCLIN	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3978	1162101667	GRĂDINIŢA CU PROGRAM NORMAL DOGNECEA	GPN DOGNECEA	DOGNECEA	DOGNECEA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3979	3562100293	GRĂDINIȚA CU PROGRAM NORMAL DOLAȚ	GPN DOLAT LIVEZILE	DOLAŢ	LIVEZILE	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3980	3362105333	GRĂDINIȚA CU PROGRAM NORMAL DOLHASCA	GPN DOLHASCA	DOLHASCA	ORAŞ DOLHASCA	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3981	3162101472	GRĂDINIȚA CU PROGRAM NORMAL DOLHENI	GR.PR.NOR. DOLHENI	DOLHENI	ILEANDA	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3982	3362101736	GRĂDINIȚA CU PROGRAM NORMAL DOLHEȘTII MARI	GPN DOLHEȘTII MARI	DOLHEŞTII-MARI	DOLHEŞTI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3983	3362101772	GRĂDINIȚA CU PROGRAM NORMAL DOLHEȘTII MICI	GPN DOLHEȘTII MICI	DOLHEŞTII MICI	DOLHEŞTI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3984	1162100458	GRĂDINIŢA CU PROGRAM NORMAL DOLINA	GPN DOLINA	DOLINA	CORNEREVA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3985	1162103036	GRĂDINIŢA CU PROGRAM NORMAL DOMAN	GPN DOMAN RESITA	DOMAN	MUNICIPIUL REŞIŢA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3986	1162101459	GRĂDINIŢA CU PROGRAM NORMAL DOMAŞNEA	GPN DOMASNEA	DOMAŞNEA	DOMAŞNEA	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3987	3062100233	GRĂDINIȚA CU PROGRAM NORMAL DOMĂNEȘTI	GPN DOMĂNEȘTI	DOMĂNEŞTI	MOFTIN	SATU MARE	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3988	3162102093	GRĂDINIȚA CU PROGRAM NORMAL DOMNIN	GR.PR.NOR. DOMNIN	DOMNIN	SOMEŞ-ODORHEI	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3989	0862102999	Grădinița cu Program Normal Dopca	Grădinița cu PN Dopca	DOPCA	HOGHIZ	BRAŞOV	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3990	3362104816	GRĂDINIȚA CU PROGRAM NORMAL DORNA ARINI	GPN DORNA ARINI	DORNA-ARINI	DORNA-ARINI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3991	3362104445	GRĂDINIȚA CU PROGRAM NORMAL DORNIȘOARA	GPN DORNIȘOARA	DORNIŞOARA	POIANA STAMPEI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3992	1362104631	GRĂDINIŢA CU PROGRAM NORMAL DOROBANŢU	GRĂDIN PR NORMAL DOROBANŢU	DOROBANŢU	NICOLAE BĂLCESCU	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3993	0662102713	GRĂDINIȚA CU PROGRAM NORMAL DOROLEA	GPN DOROLEA	DOROLEA	LIVEZILE	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3994	3362101451	GRĂDINIȚA CU PROGRAM NORMAL DOROTEIA	GPN DOROTEIA	DOROTEIA	ORAŞ FRASIN	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3995	3462100408	GRĂDINIȚA CU PROGRAM NORMAL "DR. GHEORGHE FURTUNĂ" BOTOROAGA	GRĂD CU PN "DR. GHEORGHE FURTUNĂ" BOTOROAGA	BOTOROAGA	BOTOROAGA	TELEORMAN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3996	1262104506	GRĂDINIȚA CU PROGRAM NORMAL "DR. ION RAȚIU" - STRUCTURA 1 TURDA	GRĂDINIȚA CU PN "DR. ION RAȚIU" - STR 1 (4) TURDA	TURDA	MUNICIPIUL TURDA	CLUJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3997	1262104524	GRĂDINIȚA CU PROGRAM NORMAL "DR. ION RAȚIU" - STRUCTURA 2 TURDA	GRĂDINIȚA CU PN "DR.ION RAȚIU"-STR 2	TURDA	MUNICIPIUL TURDA	CLUJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3998	1262104515	GRĂDINIȚA CU PROGRAM NORMAL "DR. ION RAȚIU" - STRUCTURA 3 TURDA	GRĂDINIȚA CU PN "DR. ION RAȚIU" - STR 3 (11) TURDA	TURDA	MUNICIPIUL TURDA	CLUJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
3999	3462103456	GRĂDINIȚA CU PROGRAM NORMAL DRACEA	GRĂD CU PN DRACEA	DRACEA	DRACEA	TELEORMAN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4000	1562105136	GRĂDINIȚA CU PROGRAM NORMAL DRAGODANA	GPN DRAGODANA	DRAGODANA	DRAGODANA	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4001	1562103057	GRĂDINIȚA CU PROGRAM NORMAL DRAGOMIREȘTI	GPN DRAGOMIREȘTI	DRAGOMIREŞTI	DRAGOMIREŞTI	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4002	3562104754	GRĂDINIȚA CU PROGRAM NORMAL DRAGOMIREȘTI	GPN DRAGOMIRESTI STIUCA	DRAGOMIREŞTI	ŞTIUCA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4003	3562102259	GRĂDINIȚA CU PROGRAM NORMAL DRAGȘINA	GPN DRAGSINA CHEVERESU MARE	DRAGŞINA	CHEVEREŞU MARE	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4004	3162102844	GRĂDINIȚA CU PROGRAM NORMAL DRAGU	GR.PR.NOR. DRAGU	DRAGU	DRAGU	SĂLAJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4005	1562104049	GRĂDINIȚA CU PROGRAM NORMAL DRĂGĂEȘTI PĂMÂNTENI MĂNEȘTI	GPN DRĂGĂEȘTI PĂMÂNTENI MĂNEȘTI	DRĂGĂEŞTI PĂMÂNTENI	MĂNEŞTI	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4006	0362100625	GRĂDINIȚA CU PROGRAM NORMAL DRĂGHICEȘTI	GPN DRĂGHICEȘTI	CĂLINEŞTI	CĂLINEŞTI	ARGEŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4007	1562102368	GRĂDINIȚA CU PROGRAM NORMAL DRĂGHINEASCA RĂSCĂEȚI	GPN DRĂGHINEASCA RĂSCĂEȚI	RĂSCĂEŢI	RĂSCĂEŢI	DÂMBOVIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4008	3562104894	GRĂDINIȚA CU PROGRAM NORMAL DRĂGOIEȘTI	GPN DRAGOESTI RACOVITA	DRĂGOIEŞTI	RACOVIŢA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4009	2262103484	GRĂDINIȚA CU PROGRAM NORMAL, DRĂGUŞENI	GPN DRAGUSENI	DRĂGUŞENI	DRAGUŞENI	IAŞI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4010	0862103114	Grădinița cu Program Normal Drăușeni	Grădinița cu PN Drăușeni	DRĂUŞENI	CAŢA	BRAŞOV	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4011	0862102502	Grădinița cu Program Normal Dridif	Grădinița cu PN Dridif	DRIDIF	VOILA	BRAŞOV	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4012	0962102889	GRĂDINIŢA CU PROGRAM NORMAL DROGU	GRĂDINIŢA CU PROGRAM NORMAL DROGU	DROGU	GALBENU	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4013	0962100833	GRĂDINIŢA CU PROGRAM NORMAL DUDESCU	GRĂDINIŢA CU PROGRAM NORMAL DUDESCU	DUDESCU	ZĂVOAIA	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4014	0962102776	GRĂDINIŢA CU PROGRAM NORMAL DUDEŞTI	GRĂDINIŢA CU PROGRAM NORMAL DUDEŞTI	DUDEŞTI	DUDEŞTI	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4015	1362104694	GRĂDINIŢA CU PROGRAM NORMAL DULCEŞTI	GRĂDIN PR NORMAL DULCEŞTI	DULCEŞTI	23 AUGUST	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4016	1362103006	GRĂDINIŢA CU PROGRAM NORMAL DULGHERU	GRĂDIN PR NORMAL DULGHERU	DULGHERU	SARAIU	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4017	2262101975	GRĂDINIȚA CU PROGRAM NORMAL, DUMBRAVA	GPN DUMBRAVA	DUMBRAVA	CIUREA	IAŞI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4018	3362107466	GRĂDINIȚA CU PROGRAM NORMAL DUMBRAVA	GPN DUMBRAVA	DUMBRAVA	GRĂNICEŞTI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4019	3362102167	GRĂDINIȚA CU PROGRAM NORMAL DUMBRAVA	GPN DUMBRAVA	DUMBRAVA	CORNU LUNCII	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4020	3562102969	GRĂDINIȚA CU PROGRAM NORMAL DUMBRAVA	GPN DUMBRAVA	DUMBRAVA	DUMBRAVA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4021	2861100377	GRĂDINIȚA CU PROGRAM NORMAL "DUMBRAVA MINUNATĂ" DRĂGANEȘTI OLT	GPN"DUMBRAVA MINUNATA"DRAGANESTI	DRĂGĂNEŞTI-OLT	ORAŞ DRĂGĂNEŞTI-OLT	OLT	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
4022	3361102972	GRĂDINIȚA CU PROGRAM NORMAL "DUMBRAVA MINUNATĂ" DUMBRĂVENI	GPN ”DUMBRAVA MINUNATĂ” DUMBRĂVENI	DUMBRĂVENI	DUMBRĂVENI	SUCEAVA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
4023	1362102204	GRĂDINIŢA CU PROGRAM NORMAL DUMBRĂVENI	GRĂDIN PR NORMAL DUMBRĂVENI	DUMBRĂVENI	DUMBRĂVENI	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4024	2662106481	GRĂDINIȚA CU PROGRAM NORMAL DUMBRĂVIOARA	GPN DUMBRĂVIOARA	DUMBRĂVIOARA	ERNEI	MUREŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4025	0861101781	Grădinița cu Program Normal Dumbrăvița	Grădinița cu PN Dumbrăvița	DUMBRĂVIŢA	DUMBRĂVIŢA	BRAŞOV	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
4026	2262100436	GRĂDINIȚA CU PROGRAM NORMAL, DUMBRĂVIŢA	GPN DUMBRAVITA	DUMBRĂVIŢA	RUGINOASA	IAŞI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4027	3362100676	GRĂDINIȚA CU PROGRAM NORMAL DUMBRĂVIȚA	GPN DUMBRĂVIȚA	DUMBRĂVIŢA	VADU MOLDOVEI	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4028	0662102939	GRĂDINIȚA CU PROGRAM NORMAL DUMITRA	GPN DUMITRA	DUMITRA	DUMITRA	BISTRIŢA-NĂSĂUD	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4029	1362102136	GRĂDINIŢA CU PROGRAM NORMAL DUNĂREA	GRĂDIN PR NORMAL DUNĂREA	DUNĂREA	SEIMENI	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4030	1362104337	GRĂDINIŢA CU PROGRAM NORMAL DUNĂRENI	GRĂDIN PR NORMAL DUNĂRENI	DUNĂRENI	ALIMAN	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4031	2062102866	GRĂDINIȚA CU PROGRAM NORMAL DUPĂPIATRĂ	GRĂDINIȚA CU PROGRAM NORMAL DUPĂPIATRĂ	DUPĂPIATRĂ	BUCEŞ	HUNEDOARA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4032	1061206884	GRĂDINIŢA CU PROGRAM NORMAL EDUSTAR BUZĂU	GPN EDUSTAR	BUZĂU	MUNICIPIUL BUZĂU	BUZĂU	Cu personalitate juridică	Unitate de învățământ	Privată
4033	1362104762	GRĂDINIŢA CU PROGRAM NORMAL EFORIE NORD	GRĂDIN PR NORMAL EFORIE NORD	EFORIE NORD	ORAŞ EFORIE	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4034	0561200855	GRĂDINIŢA CU PROGRAM NORMAL "EFRATA" HIDIŞELU DE SUS	GPN "EFRATA" HIDIŞELU DE SUS	HIDIŞELU DE SUS	HIDIŞELU DE SUS	BIHOR	Cu personalitate juridică	Unitate de învățământ	Privată
4035	1162100517	GRĂDINIŢA CU PROGRAM NORMAL EFTIMIE MURGU	GPN EFTIMIE MURGU	EFTIMIE MURGU	EFTIMIE MURGU	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4036	0561201924	GRĂDINIŢA CU PROGRAM NORMAL "ELDAD" TULCA	GPN "ELDAD" TULCA	TULCA	TULCA	BIHOR	Cu personalitate juridică	Unitate de învățământ	Privată
4037	0462108785	GRĂDINIŢA CU PROGRAM NORMAL ENĂCHEŞTI	GPN ENĂCHEŞTI	TURLUIANU	BEREŞTI-TAZLĂU	BACĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4038	2262103145	GRĂDINIȚA CU PROGRAM NORMAL, ERBICENI	GPN ERBICENI	ERBICENI	ERBICENI	IAŞI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4039	2662106436	GRĂDINIȚA CU PROGRAM NORMAL EREMITU	GPN EREMITU	EREMITU	EREMITU	MUREŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4040	1162100648	GRĂDINIŢA CU PROGRAM NORMAL ERSIG	GPN ERSIG	ERSIG	VERMEŞ	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4041	0962100652	GRĂDINIŢA CU PROGRAM NORMAL ESNA	GRĂDINIŢA CU PROGRAM NORMAL ESNA	ESNA	MOVILA MIRESII	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4042	1462103357	Grădinița cu Program Normal Estelnic	GPN. ESTELNIC	ESTELNIC	ESTELNIC	COVASNA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4043	0561208316	GRĂDINIŢA CU PROGRAM NORMAL EVANGHELICĂ LUTHERANĂ ORADEA	GPN EVANGHELICĂ LUTHERANĂ ORADEA	ORADEA	MUNICIPIUL ORADEA	BIHOR	Cu personalitate juridică	Unitate de învățământ	Privată
4044	1162104512	GRĂDINIŢA CU PROGRAM NORMAL EZERIŞ	GPN EZERIS	EZERIŞ	EZERIŞ	CARAŞ-SEVERIN	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4045	3362106085	GRĂDINIȚA CU PROGRAM NORMAL FALCĂU	GPN FALCĂU	FALCĂU	BRODINA	SUCEAVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4046	2162100175	GRĂDINIŢA CU PROGRAM NORMAL FĂCĂENI-ŞCOALA GIMNAZIALĂ FĂCĂENI	GPN. FĂCĂENI-ŞC. GIMNAZIALĂ FĂCĂENI	FĂCĂENI	FĂCĂENI	IALOMIŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4047	3562102399	GRĂDINIȚA CU PROGRAM NORMAL FĂDIMAC	GPN FADIMAC BALINT	FĂDIMAC	BALINŢ	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4048	1262105086	GRĂDINIȚA CU PROGRAM NORMAL FĂGĂDAUA, COM. CĂMĂRAȘU	GRĂDINIȚA CU PN FĂGĂDAUA, COM. CĂMĂRAȘU	CĂMĂRAŞU	CĂMĂRAŞU	CLUJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4049	3562100456	GRĂDINIȚA CU PROGRAM NORMAL FĂGET	GPN FAGET	FĂGET	ORAŞ FĂGET	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4050	0362101504	GRĂDINIȚA CU PROGRAM NORMAL FĂGETU	GPN FĂGETU	MIOVENI	ORAŞ MIOVENI	ARGEŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4051	3562103509	GRĂDINIȚA CU PROGRAM NORMAL FĂRĂȘEȘTI	GPN FARASESTI PIETROASA	FĂRĂŞEŞTI	PIETROASA	TIMIŞ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4052	0962101264	GRĂDINIŢA CU PROGRAM NORMAL FĂUREI	GRĂDINIŢA CU PROGRAM NORMAL FĂUREI	FĂUREI	ORAŞ FĂUREI	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4053	1362102561	GRĂDINIŢA CU PROGRAM NORMAL FĂUREI	GRĂDIN PR NORMAL FĂUREI	FĂUREI	BĂNEASA	CONSTANŢA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4054	0962100254	GRĂDINIŢA CU PROGRAM NORMAL FĂUREI SAT	GRĂDINIŢA CU PROGRAM NORMAL FĂUREI SAT	FĂUREI SAT	SURDILA-GRECI	BRĂILA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
4055	1262105493	GRĂDINIȚA CU PROGRAM NORMAL FĂURENI, COM. VULTURENI	GRĂDINIȚA CU PN FĂURENI, COM. VULTURENI	FĂURENI	VULTURENI	CLUJ	Arondată	Unitate de învățământ	Publică de interes naţional şi local
