17	5142100307	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC "DAN MATEESCU" CALARASI	C.S.A.P.P. LIC TEHN "DAN MATEESCU" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
18	5142100221	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC "DUILIU ZAMFIRESCU" DRAGALINA	C.S.A.P.P. LICEUL "DUILIU ZAMFIRESCU" DRAGALINA	DRAGALINA	DRAGALINA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
19	5142100334	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC "ION GHICA"OLTENITA	C.S.A.P.P. LIC TEHN "ION GHICA"OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
20	5142100284	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC ,,NICOLAE BALCESCU" OLTENITA	C.S.A.P.P LIC TEHN ,,NICOLAE BALCESCU" OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
21	5142100316	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC NR1 FUNDULEA	C.S.A.P.P. FUNDULEA	FUNDULEA	ORAŞ FUNDULEA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
22	5142100198	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC TRANSPORTURI AUTO CALARASI	C.S.A.P.P LICEUL AUTO CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
23	5142100438	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEORETIC ,,MIHAI EMINESCU" CALARASI	C.S.A.P.P. LICEUL ,,MIHAI EMINESCU" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
24	5142100402	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEORETIC ,,NEAGOE BASARAB" OLTENITA	C.S.A.P.P. ,,NEAGOE BASARAB" OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
25	5142100379	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SC. GIMNAZIALA ,,NICOLAE TITULESCU" CALARASI	C.S.A.P.P. ,,NICOLAE TITULESCU" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
26	5142100411	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SC. GIMNAZIALA ,,TUDOR VLADIMIRESCU" CALARASI	C.S.A.P.P. ,,TUDOR VLADIMIRESCU"CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
