27	Alba	SCOALA GIMNAZIALA "STEFAN CEL MARE" CETATEA DE BALTA	305163	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
28	Alba	SCOALA GIMNAZIALA NOSLAC	306428	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
29	Alba	GRADINITA CU PROGRAM PRELUNGIT NR. 13 ALBA IULIA	1162946	Unitate de învăţământ	Gradiniţă cu program prelungit	Gradiniţă	Unitate de învăţământ	Gradiniţă cu program prelungit
30	Alba	GRADINITA CU PROGRAM PRELUNGIT NR. 11 ALBA IULIA	301296	Unitate de învăţământ	Gradiniţă cu program prelungit	Gradiniţă	Unitate de învăţământ	Gradiniţă cu program prelungit
31	Alba	GRADINITA CU PROGRAM PRELUNGIT NR. 12 ALBA IULIA	1149322	Unitate de învăţământ	Gradiniţă cu program prelungit	Gradiniţă	Unitate de învăţământ	Gradiniţă cu program prelungit
32	Alba	GRADINITA CU PROGRAM NORMAL NR. 2 CIMPENI	1230470	Unitate de învăţământ	Gradiniţă cu program prelungit	Gradiniţă	Unitate de învăţământ	Gradiniţă cu program prelungit
33	Alba	LICEUL TEHNOLOGIC DE TURISM SI ALIMENTATIE ARIESENI	304664	Unitate de învăţământ	Grup şcolar economic	Grup şcolar	Unitate de învăţământ	Grup şcolar economic
34	Alba	LICEUL TEHNOLOGIC SILVIC CIMPENI	792639	Unitate de învăţământ	Grup şcolar industrial	Grup şcolar	Unitate de învăţământ	Grup şcolar industrial
35	Alba	SCOALA GIMNAZIALA VIDRA	3129807	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
36	Alba	SCOALA GIMNAZIALA "SIMION BARNUTIU" TIUR BLAJ	303995	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
37	Alba	COLEGIUL NATIONAL "LUCIAN BLAGA" SEBES	308220	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
38	Alba	LICEUL "CORNELIU MEDREA" ZLATNA	1180259	Unitate de învăţământ	Grup şcolar industrial	Grup şcolar	Unitate de învăţământ	Grup şcolar industrial
39	Alba	LICEUL CU PROGRAM SPORTIV SEBES	3100356	Unitate de învăţământ	Liceu de educaţie fizică şi sport	Liceu	Unitate de învăţământ	Liceu de educaţie fizică şi sport
40	Alba	PALATUL COPIILOR ALBA IULIA	311899	Unitate de învăţământ	Clubul copiilor	Club al elevilor, palat al copiilor	Unitate de învăţământ	Clubul copiilor
41	Alba	SCOALA GIMNAZIALA POSAGA DE JOS	306727	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
42	Alba	SCOALA GIMNAZIALA OCOLIS	306480	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
43	Alba	COLEGIUL NATIONAL "INOCHENTIE MICU CLAIN" BLAJ	308191	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
44	Alba	SCOALA GIMNAZIALA "VASILE GOLDIS" ALBA IULIA	303646	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
45	Alba	SCOALA GIMNAZIALA "SEPTIMIU ALBINI" CUT	305280	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
46	Alba	SCOALA GIMNAZIALA "SEBES PAL" RIMETEA	306818	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
47	Alba	SCOALA GIMNAZIALA CRACIUNELU DE JOS	305345	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
48	Alba	SCOALA GIMNAZIALA "IOAN MAIORESCU" BUCERDEA GRANOASA	305357	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
49	Alba	COLEGIUL NATIONAL "AVRAM IANCU" CIMPENI	308189	Unitate de învăţământ	Colegiu Naţional	Colegiu	Unitate de învăţământ	Colegiu Naţional
50	Alba	GRADINITA CU PROGRAM NORMAL "SURASUL COPIILOR" BLAJ	66	Unitate de învăţământ	Gradiniţă cu program normal	Gradiniţă	Unitate de învăţământ	Gradiniţă cu program normal
51	Alba	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ALBA	8888	Unitate de învăţământ	Centrul Judeţean de asistenţă psihopedagogică	Alte ( casa corp didactic, inspectorat şcolar, etc)	Unitate de învăţământ	Centrul Judeţean de asistenţă psihopedagogică
52	Alba	SCOALA GIMNAZIALA "AVRAM IANCU" ABRUD	303816	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
53	Alba	LICEUL "HOREA, CLOSCA SI CRISAN" ABRUD	1180302	Unitate de învăţământ	Grup şcolar industrial	Grup şcolar	Unitate de învăţământ	Grup şcolar industrial
54	Alba	SCOALA GIMNAZIALA "ION AGARBICEANU" CENADE	305084	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
55	Alba	LICEUL TEOLOGIC ROMANO-CATOLIC "GROF MAJLATH GUSZTAV KAROLY" ALBA IULIA	100185	Unitate de învăţământ	Liceu teologic	Liceu	Unitate de învăţământ	Liceu teologic
56	Alba	SCOALA GIMNAZIALA CIMPENI	1163055	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
57	Alba	SCOALA GIMNAZIALA " IOSIF PERVAIN" CUGIR	304157	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
58	Alba	SCOALA GIMNAZIALA "HOREA" HOREA	305694	Unitate de învăţământ	Şcoala cu clasele I-VIII	Gimnaziu ( clasele I-VIII sau I-X)	Unitate de învăţământ	Şcoala cu clasele I-VIII
